Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.85734193190318E-05,-3.14893917816028E-08,0.0235694730998748,0,0,0,0.719994590495512,0.000915098415293508,1.16624299234023E-08,-2.77627033649579E-07,0.00159394997606591,-3.83853691579024E-10,0.00234792471513731,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/base_link.STL,,00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-BAN-DOWN_SHIM.stp-1;00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4310P.stp-2;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-BASE_02.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-BASE.stp-1;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-AXK55_7855_THRUST_BEARING.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00946544445312927,-0.000916580237430832,0.0265782762061412,0,0,0,0.0474137994557966,6.36839627695188E-05,-1.55440663246564E-11,-7.08508824336641E-06,3.98844280553226E-05,-4.4556429003454E-11,5.92016142489911E-05,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link1.STL,,00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK1_2.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1_4MM.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-FLANGE_10MM.stp-2,link1,joint1,joint1,revolute,0,0,0.0708,0,0,0,base_link,0,0,1,27,50,-3.14,3.14,,,,,,,,
link2,-0.132889542584872,-0.003258224978752,-0.0349384843366669,0,0,0,0.739226251844668,0.000256114561344732,-6.74416097640004E-06,4.81792944649058E-10,0.00206193618710208,4.37044735910569E-07,0.00205913873630619,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link2.STL,,00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4340P.stp-2;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK2_3.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1-GASKET.stp-1;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK2_3_2.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-DOWN_TRIM_1.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-DOWN-COVER.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-DOWN-FILLING.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-DOWN_TRIM_2.stp-1;00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4340P.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1-GASKET.stp-3,link2,joint2,joint2,revolute,0.02,0.035625,0.0497,-1.5708,0,0,link1,0,0,-1,27,50,-3.14,0,,,,,,,,
link3,0.123937952105152,-0.0545951132444595,-0.0352155733412803,0,0,0,0.517217816239094,0.000154448088504725,1.31408569477724E-05,-1.08370172627092E-09,0.00131521837345199,2.77287281258215E-07,0.00130884871979224,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link3.STL,,00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK3_3_1.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-HANDLE.stp-1;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK3_4.stp-1;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK3_4_2.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1_4MM.stp-2;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK3_3_2.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-FLANGE_10MM.stp-3;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-UP-COVER.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-UP-TRIM_1.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-UP-TRIM_2.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-UP-FILLING.stp-1;00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4310P.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1-GASKET.stp-2,link3,joint3,joint3,revolute,-0.264,0,0,0,0,0,link2,0,0,1,27,50,-3.14,0,,,,,,,,
link4,0.0605173509890757,-0.0515591812721402,-0.0304480106784497,0,0,0,0.192697131774934,8.02180695386143E-05,1.80653906847015E-05,4.16372809232252E-08,0.00011283880277066,-1.27766109264829E-07,0.000110011824792294,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link4.STL,,00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK4_5_2.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-MOTOR-COVER.stp-1;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK4_5_1.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-BIG-LINK5-6.stp-1;00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4310P.stp-3;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-FLANGE_10MM.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1_2-4MM.stp-1,link4,joint4,joint4,revolute,0.2426,-0.054,-0.005625,0,0,0,link3,0,0,1,7,200,-1.87,1.57,,,,,,,,
link5,-0.0050794127558127,0.00010101378072503,0.0368401332519827,0,0,0,0.132385396678886,5.35384612243393E-05,2.77627187996669E-07,3.09969892642944E-06,4.65021943386178E-05,1.16620238873388E-08,4.49715503183576E-05,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link5.STL,,00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4310P.stp-4;00-new-robotic-20260209.stp-1/01-SHEET-METAL_ASM.stp-1/02-BAN-LINK5_6.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-LINK1_2-4MM.stp-2;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-SPACER.stp-1;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-SILICONE-PAD.stp-1,link5,joint5,joint5,revolute,0.078308,-0.0355,-0.03,-1.5708,0,0,link4,0,0,1,7,200,-1.57,1.57,,,,,,,,
link6,-3.8781691230616E-07,0.000113777214552087,0.0230647909060226,0,0,0,0.11789729559246,3.88080010698203E-05,-1.17785351596058E-08,-3.87297996334965E-10,3.85559589025659E-05,2.77632235790657E-07,4.97947305166078E-05,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/link6.STL,,00-new-robotic-20260209.stp-1/01-MOTOR_ASM.stp-1/02-4310P.stp-5;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-OLD-OUT.stp-1;00-new-robotic-20260209.stp-1/01-CNC_ASM.stp-1/02-OLD-IN.stp-1,link6,joint6,joint6,revolute,0.027192,0,0.038,0,1.5708,0,link5,0,0,1,7,200,-6.28,6.28,,,,,,,,
end_link,-0.0725515914083579,-2.48849641689627E-05,8.93997475285291E-05,0,0,0,0.144462872984956,0.000184957886333639,2.96738638766954E-12,2.85406142523417E-09,3.17608917694512E-05,2.09841553499463E-08,0.000178869005286531,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/end_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reBot-DevArm_description_fixend/meshes/end_link.STL,,00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-8MM.stp-1;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-RACK.stp-2;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-RAIL.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-3D-RAIL-BRACKET.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-RAIL-BRACKET.stp-1;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-RACK.stp-1;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-GEAR.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-FIX-RACK.stp-2;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-5B9E4F53.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-FIX-RACK.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-CLIP_1.stp-1;00-new-robotic-20260209.stp-1/01-3D-PRINT_ASM.stp-1/02-CLIP_1.stp-2;00-new-robotic-20260209.stp-1/01-BOUGHT-OUT_ASM.stp-1/02-5B9E4F53.stp-2,end_link,Axis_end_joint,end_joint,fixed,-0.00018697,-5.9452E-05,0.14921,0,-1.5708,3.1415,link6,0,0,0,,,,,,,,,,,,
